,ghostNote,hammer,palmMute,slides,duration,root_note,root_freq
0,0.0,0.0,0.0,0.0,0.5,A3,219.99999999999991
1,0.0,0.0,0.0,0.0,0.5,R,0.0
2,0.0,0.0,0.0,0.0,0.25,E4,329.6275569128698
3,0.0,0.0,0.0,0.0,0.25,B4,493.8833012561241
4,0.0,0.0,0.0,0.0,0.25,R,0.0
5,0.0,0.0,0.0,0.0,0.25,E4,329.6275569128698
6,0.0,0.0,0.0,0.0,0.5,F3,174.61411571650186
7,0.0,0.0,0.0,0.0,0.5,R,0.0
8,0.0,0.0,0.0,0.0,0.25,C4,261.6255653005985
9,0.0,0.0,0.0,0.0,0.25,G4,391.99543598174927
10,0.0,0.0,0.0,0.0,0.5,B3,246.94165062806198
11,0.0,0.0,0.0,0.0,0.5,R,0.0
12,0.0,0.0,0.0,0.0,0.25,F#4,369.99442271163434
13,0.0,0.0,0.0,0.0,0.25,D5,587.3295358348153
14,0.0,0.0,0.0,0.0,0.25,R,0.0
15,0.0,0.0,0.0,0.0,0.25,F#4,369.99442271163434
16,0.0,0.0,0.0,0.0,0.5,G3,195.9977179908745
17,0.0,0.0,0.0,0.0,0.5,R,0.0
18,0.0,0.0,0.0,0.0,0.5,D4,293.66476791740746
19,0.0,0.0,0.0,0.0,0.5,R,0.0
20,0.0,0.0,0.0,0.0,0.5,A4,440.0
21,0.0,0.0,0.0,0.0,0.5,A3,219.99999999999991
22,0.0,0.0,0.0,0.0,0.5,R,0.0
23,0.0,0.0,0.0,0.0,0.25,E4,329.6275569128698
24,0.0,0.0,0.0,0.0,0.25,B4,493.8833012561241
25,0.0,0.0,0.0,0.0,0.25,R,0.0
26,0.0,0.0,0.0,0.0,0.25,E4,329.6275569128698
27,0.0,0.0,0.0,0.0,0.5,F3,174.61411571650186
28,0.0,0.0,0.0,0.0,0.5,R,0.0
29,0.0,0.0,0.0,0.0,0.25,C4,261.6255653005985
30,0.0,0.0,0.0,0.0,0.25,G4,391.99543598174927
31,0.0,0.0,0.0,0.0,0.5,G3,195.9977179908745
32,0.0,0.0,0.0,0.0,0.5,R,0.0
33,0.0,0.0,0.0,0.0,0.25,D4,293.66476791740746
34,0.0,0.0,0.0,0.0,0.25,A4,440.0
35,0.0,0.0,0.0,0.0,0.25,R,0.0
36,0.0,0.0,0.0,0.0,0.25,D4,293.66476791740746
37,0.0,0.0,0.0,0.0,0.5,E3,155.56349186104038
38,0.0,0.0,0.0,0.0,0.5,R,0.0
39,0.0,0.0,0.0,0.0,0.5,B3,233.08188075904488
40,0.0,0.0,0.0,0.0,0.5,R,0.0
41,0.0,0.0,0.0,0.0,0.25,F4,349.2282314330038
42,0.0,0.0,0.0,0.0,0.25,G4,391.99543598174927
43,0.0,0.0,0.0,0.0,0.5,A3,219.99999999999991
44,0.0,0.0,0.0,0.0,0.5,R,0.0
45,0.0,0.0,0.0,0.0,0.25,E4,329.6275569128698
46,0.0,0.0,0.0,0.0,0.25,B4,493.8833012561241
47,0.0,0.0,0.0,0.0,0.25,R,0.0
48,0.0,0.0,0.0,0.0,0.25,E4,329.6275569128698
49,0.0,0.0,0.0,0.0,0.5,F3,174.61411571650186
50,0.0,0.0,0.0,0.0,0.5,R,0.0
51,0.0,0.0,0.0,0.0,0.25,C4,261.6255653005985
52,0.0,0.0,0.0,0.0,0.25,G4,391.99543598174927
